Device Make,Popular
Acer,0
Advent,0
Agso,0
Ahong,0
Ainol,0
Airis,0
Airness,0
Alcatel,0
Amazon,1
Amoi,0
AnexTek,0
AOC,0
Apad,0
Apple,1
Archos,0
Arnova Archos,0
ASMOBILE,0
Asus,0
Audiovox,0
Axioo,0
B-Mobile,0
Barnes and Noble,1
Becker,0
BEKO,0
Bell Technology spol. s r.o.,0
Bellwave,0
BenQ,0
BenQ-Siemens,0
Benss,0
Bird,0
Bleu,0
BLU,0
Bmorn,0
Broncho,0
Camangi,0
Capitel,0
Carrefour,0
Casio,0
CDM,0
CECT,0
CellTel,0
Cherry Mobile,0
CHT,0
Cincinnati Bell,0
Cingular,0
Cisco,0
Cking,0
Coby,0
Commtiva,0
Compal,0
Coolpad,0
Creative,0
Cresta,0
Cricket,0
CSL,0
CUBE,0
Cydle,0
Cyrus,0
CZC,0
Dai Telecom,0
Dallab,0
Danger,0
Daxian,0
Dell,0
Dicam,0
Disney Mobile,0
DJC,0
DoCoMo,1
Dopod,0
Dynamax,0
Easypix,0
EDL,0
Eken,0
Elocity,0
Elonex,0
Elson,0
Emobile,0
Enspert,0
ERA,0
Ericsson,1
Eton,0
eTouch,0
EZIO,0
Ezze,0
Fly,0
Foston,0
FPT,0
Freescale,0
Fujitsu,0
GADMEI,0
Garmin-Asus,0
GeeksPhone,0
Gemei,0
Gigabyte,0
Gionee,0
Global High Tech,0
GOCLEVER,0
Gome,0
Google,1
Gradiente,0
Grameenphone,0
Grundig,0
Haier,0
Handspring,0
HannStar,0
HEDY,0
HengTong World,0
Hisense,0
Hitachi,0
HKPhone,0
Housin,0
HP,0
HTC,1
HTIL,0
Huawei,1
HUAWEI_G3501,0
Hummer,0
Hyundai,0
i-mate,0
i-mobile,0
IM,0
iMate,0
InfoSonics,0
Innostream,0
iNQ,0
INQ Mobile,0
Itelco,0
IVIO,0
IXI,0
K-Touch,0
Karbonn,0
KDDI,0
Kisen,0
Kobo,0
Konka,0
koobee,0
KPT,0
KT,0
Kyocera,1
LAVA,0
LCT,0
Lemon,0
Lenovo,0
Lexibook,0
Lexus,0
LG,1
LNexian,0
Longcos,0
LT,0
LXE,0
LY,0
Malata,0
Maxx,0
Medion,0
Meizu,0
Micromax,0
Microsoft,1
Mitac,0
Mitsubishi,0
Mobile Wireless Group,0
MOBISTEL,0
ModeLabs,0
Modu,0
Motorola,1
MOVILNET,0
MTS,0
MyPhone,0
NEC,0
Neonode,0
Newgen,0
Newsmy,0
Nexian,0
Nextbook,0
NGM,0
Nintendo,0
Nokia,1
Notion Ink,0
NTT DoCoMo,1
O2,0
Odys,0
OKWap,0
Olive,0
Olivetti,0
Onda,0
OPPO,0
Orange,1
Ouku,0
Palm,0
Panasonic,0
Pandigital,0
Pantech,0
PCD,0
Philips,0
PhoneOne,0
Pirelli-Arcor,0
Polaroid,0
POV,0
Prestigio,0
Q-mobile,0
QCI,0
QMobile,0
Qtek,0
Qware,0
RIM,1
Ron,0
RoverPC,0
RT,0
Saayi,0
Sagem,0
SAMART,0
Samsung,1
Sanyo,1
SavaJe,0
Sendo,0
SFR,0
Sharp,0
Siemens,0
Simvalley,0
Skyspring,0
SKYTEX,0
Skyworth,0
SMART,0
Smartfren,0
SmartQ,0
Softbank,0
Sonim,0
Sony,0
Sony Ericsson,1
Spice,0
Sprint,1
Star,0
Storage Options,0
SVP,0
Sylvania,0
Symphony,0
T-Mobile,1
Tabulet,0
Taiwan Mobile,0
TCL,0
Techfaith,0
Teclast,0
Telechip,0
Telefunken,0
Telit,0
teXet,0
Tianyu,0
Tinno,0
Tomtec,0
Toshiba,1
TrekStor,0
tvCompass,0
Ubiquam,0
Uniscope,0
Unistar,0
Uriver,0
Usha Lexus,0
Utec,0
UTStarcom,0
Vacom,0
Vanhon,0
Velocity Mobile,0
Venstar,0
Verizon,1
Vertu,0
VeryKool,0
VERZIOWORLD,0
Vibo,0
Videocon,0
Viettel,0
View Quest,0
Viewsonic,0
Vitelcom,0
Vizio,0
VK Mobile,0
Vodafone,1
Voxtel,0
W3C,0
WayteQ,0
WellcoM,0
Window Digital Electronics,0
Wonder Media,0
Wonu,0
woPad,0
Woxter,0
XDA,0
Xiaomi,0
Yarvik,0
YAS,0
Zen,0
Zenithink,0
Zonda,0
ZT,0
ZTE,0
Zync,0
