Device Make,Device Model,Popular
Acer,A101,0
Acer,A200,0
Acer,A500/Picasso,0
Acer,A501,0
Acer,beTouch E100,0
Acer,beTouch E120,0
Acer,beTouch E140,0
Acer,beTouch E400,0
Acer,E101/beTouch E101,0
Acer,E110,0
Acer,E130,0
Acer,E200/beTouch E200,0
Acer,E310/Liquid Mini,0
Acer,F900,0
Acer,G100W/G100W,0
Acer,Iconia Tab A100/Vangogh,0
Acer,Liquid,0
Acer,Liquid Metal,0
Acer,neoTouch P400,0
Acer,Pro80,0
Acer,S100,0
Acer,S110/Stream,0
Acer,S120/Liquid Metal,0
Acer,S200/newTouch S200,0
Acer,S300,0
Acer,TPA60W/TPA60W,0
Acer,X960,0
Advent,Vega,0
Agso,S9,0
Ahong,D08,0
Ahong,D09,0
Ahong,D13,0
Ahong,D23,0
Ainol,Novo 7 Advanced2,0
Ainol,Novo 7 Aurora,0
Ainol,Novo 7 Elf,0
Ainol,Novo 7 Paladin,0
Ainol,Novo8,0
Airis,OnePAD 720,0
Airis,T480,0
Airness,Air99,0
Airness,MK99,0
Airness,SLIDE99,0
Alcatel,C60,0
Alcatel,C750,0
Alcatel,Crystal,0
Alcatel,Elle-N1,0
Alcatel,ELLE-N3,0
Alcatel,GLAMPHONE ELLE,0
Alcatel,Mandarina Duck,0
Alcatel,Miss Sixty 2009,0
Alcatel,MOVE/MOVE,0
Alcatel,OH5,0
Alcatel,One Touch 156,0
Alcatel,One Touch 556,0
Alcatel,One Touch 665,0
Alcatel,one touch 890,0
Alcatel,one touch 890D/one touch 890D,0
Alcatel,one touch 906/one touch 906,0
Alcatel,one touch 908,0
Alcatel,One Touch 990,0
Alcatel,One Touch C550,0
Alcatel,One Touch C551,0
Alcatel,One Touch C552a,0
Alcatel,one touch Phone,0
Alcatel,One Touch S218,0
Alcatel,One-Touch 511,0
Alcatel,One-Touch 525,0
Alcatel,One-Touch 535,0
Alcatel,One-Touch 715,0
Alcatel,OT 303A,0
Alcatel,OT 305,0
Alcatel,OT 363,0
Alcatel,OT 383,0
Alcatel,OT 660,0
Alcatel,OT 708/Vodafone  541,0
Alcatel,OT 808,0
Alcatel,OT 808A,0
Alcatel,OT S320,0
Alcatel,OT S321A,0
Alcatel,OT S621,0
Alcatel,OT S626A,0
Alcatel,OT S680,0
Alcatel,OT S692,0
Alcatel,OT S920,0
Alcatel,OT V570,0
Alcatel,OT V670,0
Alcatel,OT V670A,0
Alcatel,OT v770,0
Alcatel,OT-216,0
Alcatel,OT-255,0
Alcatel,OT-255A,0
Alcatel,OT-255D,0
Alcatel,OT-280,0
Alcatel,OT-300,0
Alcatel,OT-305,0
Alcatel,OT-305A,0
Alcatel,OT-306X,0
Alcatel,OT-315M,0
Alcatel,OT-355,0
Alcatel,OT-355A,0
Alcatel,OT-355D,0
Alcatel,OT-358,0
