Operating System,Operating System Version,Popularity
Android,.2.3.4,0
Android,0.0.0,0
Android,0.0.0.0,0
Android,0.4-PTK,0
Android,0.5,0
Android,00.00.00,0
Android,007,0
Android,01.24.05,0
Android,04.04.94,0
Android,07.11.1994,0
Android,1.0,1
Android,1.0.0,0
Android,1.0.1,0
Android,1.0.14,0
Android,1.0.15,0
Android,1.0.3,0
Android,1.0.4,0
Android,1.0.5,0
Android,1.02.05,0
Android,1.1,0
Android,1.1.1,0
Android,1.1.20,0
Android,1.1.5,0
Android,1.1.7,0
Android,1.17,0
Android,1.2,0
Android,1.21,0
Android,1.3.1.4,0
Android,1.33,0
Android,1.5,1
Android,1.5.0,0
Android,1.5.0.1,0
Android,1.5.10328,0
Android,1.5.10409,0
Android,1.5.11116,0
Android,1.5.20529,0
Android,1.5.336,0
Android,1.5.350,0
Android,1.6,1
Android,10.0,0
Android,10.0.5,0
Android,10.2.3,0
Android,100.0.0,0
Android,13.3.37,0
Android,2.0,1
Android,2.0.1,0
Android,2.0.2,0
Android,2.0.4,0
Android,2.0.5,0
Android,2.1,1
Android,2.1 Update-1,1
Android,2.1-,0
Android,2.1-AXing,0
Android,2.1-fresh,0
Android,2.1-geniusbmt,0
Android,2.1-UD3,0
Android,2.1-ui3,0
Android,2.1-update,0
Android,2.1-update1,1
Android,2.1-update2,0
Android,2.1-update3,0
Android,2.1-updated,0
Android,2.1.0,0
Android,2.1.1,0
Android,2.1.10704,0
Android,2.1.10915,0
Android,2.1.11117,0
Android,2.1.2,0
Android,2.1.2-FAB,0
Android,2.1.4,0
Android,2.1.5,0
Android,2.2,1
Android,2.2-20111219,0
Android,2.2-20111220,0
Android,2.2-20111223,0
Android,2.2-20111228,0
Android,2.2-20120111,0
Android,2.2-update,0
Android,2.2-update1,0
Android,2.2.0,0
Android,2.2.0.5,0
Android,2.2.1,1
Android,2.2.1 with HTC Sense UI,1
Android,2.2.1-Beta1,0
Android,2.2.1-rc7,0
Android,2.2.1-rc8,0
Android,2.2.1-XP,0
Android,2.2.1.0.6,0
Android,2.2.1.1832,0
Android,2.2.1.3077,0
Android,2.2.10.5449,0
